# Verification: f(x) = g(Mx+b)
# n=8

osel10: PASS T=128 m=8
osel11: PASS T=64 m=8
osel12: PASS T=64 m=8
osel13: PASS T=32 m=8
osel14: PASS T=64 m=8
osel15: PASS T=32 m=8
osel16: PASS T=32 m=8
osel17: PASS T=16 m=8
osel18: PASS T=64 m=8
osel19: PASS T=32 m=8
osel110: PASS T=32 m=8
osel111: PASS T=16 m=8
osel112: PASS T=32 m=8
osel113: PASS T=16 m=8
osel114: PASS T=16 m=8
osel115: PASS T=8 m=8
osel116: PASS T=64 m=8
osel117: PASS T=32 m=8
osel118: PASS T=32 m=8
osel119: PASS T=16 m=8
osel120: PASS T=32 m=8
osel121: PASS T=16 m=8
osel122: PASS T=16 m=8
osel123: PASS T=8 m=8
osel124: PASS T=32 m=8
osel125: PASS T=16 m=8
osel126: PASS T=16 m=8
osel127: PASS T=8 m=8
osel128: PASS T=16 m=8
osel129: PASS T=8 m=8
osel130: PASS T=8 m=8
osel131: PASS T=4 m=8
osel132: PASS T=64 m=8
osel133: PASS T=32 m=8
osel134: PASS T=32 m=8
osel135: PASS T=16 m=8
osel136: PASS T=32 m=8
osel137: PASS T=16 m=8
osel138: PASS T=16 m=8
osel139: PASS T=8 m=8
osel140: PASS T=32 m=8
osel141: PASS T=16 m=8
osel142: PASS T=16 m=8
osel143: PASS T=8 m=8
osel144: PASS T=16 m=8
osel145: PASS T=8 m=8
osel146: PASS T=8 m=8
osel147: PASS T=4 m=8
osel148: PASS T=32 m=8
osel149: PASS T=16 m=8
osel150: PASS T=16 m=8
osel151: PASS T=8 m=8
osel152: PASS T=16 m=8
osel153: PASS T=8 m=8
osel154: PASS T=8 m=8
osel155: PASS T=4 m=8
osel156: PASS T=16 m=8
osel157: PASS T=8 m=8
osel158: PASS T=8 m=8
osel159: PASS T=4 m=8
osel160: PASS T=8 m=8
osel161: PASS T=4 m=8
osel162: PASS T=4 m=8
osel163: PASS T=2 m=8
osel164: PASS T=64 m=8
osel165: PASS T=32 m=8
osel166: PASS T=32 m=8
osel167: PASS T=16 m=8
osel168: PASS T=32 m=8
osel169: PASS T=16 m=8
osel170: PASS T=16 m=8
osel171: PASS T=8 m=8
osel172: PASS T=32 m=8
osel173: PASS T=16 m=8
osel174: PASS T=16 m=8
osel175: PASS T=8 m=8
osel176: PASS T=16 m=8
osel177: PASS T=8 m=8
osel178: PASS T=8 m=8
osel179: PASS T=4 m=8
osel180: PASS T=32 m=8
osel181: PASS T=16 m=8
osel182: PASS T=16 m=8
osel183: PASS T=8 m=8
osel184: PASS T=16 m=8
osel185: PASS T=8 m=8
osel186: PASS T=8 m=8
osel187: PASS T=4 m=8
osel188: PASS T=16 m=8
osel189: PASS T=8 m=8
osel190: PASS T=8 m=8
osel191: PASS T=4 m=8
osel192: PASS T=8 m=8
osel193: PASS T=4 m=8
osel194: PASS T=4 m=8
osel195: PASS T=2 m=8
osel196: PASS T=32 m=8
osel197: PASS T=16 m=8
osel198: PASS T=16 m=8
osel199: PASS T=8 m=8
osel1100: PASS T=16 m=8
osel1101: PASS T=8 m=8
osel1102: PASS T=8 m=8
osel1103: PASS T=4 m=8
osel1104: PASS T=16 m=8
osel1105: PASS T=8 m=8
osel1106: PASS T=8 m=8
osel1107: PASS T=4 m=8
osel1108: PASS T=8 m=8
osel1109: PASS T=4 m=8
