# Verification for (n=10, k=11 outputs)
# Strategy: opt1
# Transform: z = Mx + b (m=10)
# Tests: 5000

# x  f(x)  z  g(z)
0000000000  00001000001  0010000010  00001000001
0000010101  00111000000  0101011001  00111000000
0000101010  01100001011  0011010100  01100001011
0000111111  00111000000  0100001111  00111000000
0001010100  00111000000  0100011000  00111000000
0001101001  00110100000  0011100010  00110100000
0001111110  00110000000  0101001110  00110000000
0010010011  00111000000  1001000001  00111000000
0010101000  00111000000  1111001001  00111000000
0010111101  00111000000  1000010010  00111000000
0011010010  00111000000  1000000000  00111000000
0011100111  00111000000  1111100001  00111000000
0011111100  00111000000  1001010011  00111000000
0100010001  00111000000  0001011100  00111000000
0100100110  01000000110  0111001010  01000000110
0100111011  00111000000  0000001010  00111000000
0101010000  01010000100  0000011101  01010000100
0101100101  00110010001  0111111100  00110010001
0101111010  00110000000  0001001011  00110000000
0110001111  00111000000  1010000000  00111000000
0110100100  00111000000  1011010111  00111000000
0110111001  00111000000  1100010111  00111000000
0111001110  00111000000  1011000001  00111000000
0111100011  00111000000  1011100100  00111000000
0111111000  00111000000  1101010110  00111000000
1000001101  01111001001  1010011101  01111001001
1000100010  00011000011  1011001111  00011000011
1000110111  00111000000  1100010100  00111000000
1001001100  01001001101  1011011100  01001001101
1001100001  00110000000  1011111001  00110000000
1001110110  00110000000  1101010101  00110000000
1010001011  00111000000  0110000101  00111000000
1010100000  00111000000  0111010010  00111000000
1010110101  00111000000  0000001001  00111000000
1011001010  00111000000  0111000100  00111000000
1011011111  00111000000  0000011111  00111000000
1011110100  00111000000  0001001000  00111000000
1100001001  01011000100  1110011000  01011000100
1100011110  00111000000  1000110100  00111000000
1100110011  00111000000  1000010001  00111000000
1101001000  00101001101  1111011001  00101001101
1101011101  00111000000  1000000010  00111000000
1101110010  00110000000  1001010000  00110000000
1110000111  00111000000  0010011011  00111000000
1110011100  00111000000  0100101001  00111000000
1110110001  00111000000  0100001100  00111000000
1111000110  00111000000  0011011010  00111000000
1111011011  00111000000  0100011010  00111000000
1111110000  00111000000  0101001101  00111000000
0000000101  01011000111  0010000110  01011000111
0000011010  00111000000  0100110001  00111000000
0000101111  01110001001  0011010000  01110001001
0001000100  00111001111  0011000111  00111001111
0001011001  00111000000  0100000111  00111000000
0001101110  00110110100  0010010001  00110110100
0010000011  00110000011  1110011110  00110000011
0010011000  00111000000  1000101100  00111000000
0010101101  00111000000  1111001101  00111000000
0011000010  00111000000  1111011111  00111000000
0011010111  00111000000  1000000100  00111000000
0011101100  00111000000  1110001100  00111000000
0100000001  00010000001  0110000011  00010000001
0100010110  00111000000  0000101111  00111000000
0100101011  01100001010  0111010101  01100001010
0101000000  00111000000  0111000010  00111000000
0101010101  00111000000  0000011001  00111000000
0101101010  00110100101  0110010100  00110100101
0101111111  00110000000  0001001111  00110000000
0110010100  00111000000  1100110010  00111000000
0110101001  00111000000  1011001000  00111000000
0110111110  00111000000  1101100100  00111000000
0111010011  00111000000  1100000001  00111000000
0111101000  00111000000  1010001001  00111000000
0111111101  00111000000  1101010010  00111000000
1000010010  00111000000  1100101010  00111000000
1000100111  01001000101  1011001011  01001000101
1000111100  00111000000  1101111001  00111000000
1001010001  00111000000  1100011100  00111000000
1001100110  00110010110  1010001010  00110010110
1001111011  00110000000  1101001010  00110000000
1010010000  00111000000  0000110111  00111000000
1010100101  00111000000  0111010110  00111000000
