# Verification for (n=11, k=7 outputs)
# Strategy: opt1
# Transform: z = Mx + b (m=11)
# Tests: 5000

# x  f(x)  z  g(z)
00000000000  0000000  00111110000  0000000
10000010101  1111000  10011110100  1111000
00000101010  0101011  00111011011  0101011
10000111111  1111000  10011011111  1111000
00001010100  0111011  11110010111  0111011
10001101001  1111001  01010111011  1111001
00001111110  1001000  11110111100  1001000
10010010011  1111001  10000110100  1111001
00010101000  1001011  00100011110  1001011
10010111101  1111001  10000011010  1111001
00011010010  1001101  11101010111  1001101
10011100111  1111010  01001110011  1111010
00011111100  1011000  11101111001  1011000
10100010001  1111010  10111111001  1111010
00100100110  1011001  00011011110  1011001
10100111011  1111010  10111010010  1111010
00101010000  1011011  11010011010  1011011
10101100101  1111011  01110111110  1111011
00101111010  1011100  11010110001  1011100
10110001111  1111011  01100110001  1111011
00110100100  1011101  00000011011  1011101
10110111001  1111011  10100010111  1111011
00111001110  1011110  00001010010  1011110
10111100011  1111100  01101111110  1111100
00111111000  1101000  11001110100  1101000
11000001101  1111100  00001101100  1111100
01000100010  1101001  01101000011  1101001
11000110111  1111100  11001000111  1111100
01001001100  1101001  01100001111  1101001
11001100001  1111101  00000100011  1111101
01001110110  1101010  10100100100  1101010
11010001011  1111101  00010101100  1111101
01010100000  1101011  01110000110  1101011
11010110101  1111101  11010000010  1111101
01011001010  1101011  01111001111  1101011
11011011111  1111110  11011001011  1111110
01011110100  1101100  10111100001  1101100
11100001001  1111110  00101100001  1111110
01100011110  1101100  10001100110  1101100
11100110011  1111110  11101001010  1111110
01101001000  1101101  01000000010  1101101
11101011101  1111111  11100000110  1111111
01101110010  1101110  10000101001  1101110
11110000111  1111111  00110101001  1111111
01110011100  1101110  10010100011  1101110
11110110001  1111111  11110001111  1111111
01111000110  1101111  01011001010  1101111
11111011011  1111111  11111000110  1111111
01111110000  1111000  10011101100  1111000
00000000101  0000101  00111110100  0000101
10000011010  1111000  10011111011  1111000
00000101111  0101100  00111011111  0101100
10001000100  1111001  01010010111  1111001
00001011001  0111011  11110011011  0111011
10001101110  1111001  01010111100  1111001
00010000011  1001000  00100110100  1001000
10010011000  1111001  10000111110  1111001
00010101101  1001011  00100011010  1001011
10011000010  1111010  01001010111  1111010
00011010111  1001101  11101010011  1001101
10011101100  1111010  01001111001  1111010
00100000001  1011000  00011111001  1011000
10100010110  1111010  10111111110  1111010
00100101011  1011001  00011010010  1011001
10101000000  1111011  01110011010  1111011
00101010101  1011011  11010011110  1011011
10101101010  1111011  01110110001  1111011
00101111111  1011100  11010110101  1011100
10110010100  1111011  10100111011  1111011
00110101001  1011101  00000010111  1011101
10110111110  1111011  10100010000  1111011
00111010011  1011111  11001011110  1011111
10111101000  1111100  01101110100  1111100
00111111101  1101000  11001110000  1101000
11000010010  1111100  11001100011  1111100
01000100111  1101001  01101000111  1101001
11000111100  1111100  11001001101  1111100
01001010001  1101001  10100000011  1101001
11001100110  1111101  00000100100  1111101
01001111011  1101010  10100101000  1101010
11010010000  1111101  11010100110  1111101
01010100101  1101011  01110000010  1101011
11010111010  1111101  11010001101  1111101
01011001111  1101011  01111001011  1101011
11011100100  1111110  00011100001  1111110
01011111001  1101100  10111101101  1101100
11100001110  1111110  00101100110  1111110
01100100011  1101101  01001001010  1101101
11100111000  1111110  11101000000  1111110
01101001101  1101101  01000000110  1101101
11101100010  1111111  00100101001  1111111
01101110111  1101110  10000101101  1101110
11110001100  1111111  00110100011  1111111
01110100001  1101111  01010001111  1101111
11110110110  1111111  11110001000  1111111
01111001011  1101111  01011000110  1101111
11111100000  1111111  00111101100  1111111
