# Verification for (n=10, k=11 outputs)
# Strategy: opt1
# Transform: z = Mx + b (m=10)
# Tests: 5000

# x  f(x)  g(z)  (hex, 2 bytes)
0000  0041  0041
0015  01c0  01c0
002a  030b  030b
003f  01c0  01c0
0054  01c0  01c0
0069  01a0  01a0
007e  0180  0180
0093  01c0  01c0
00a8  01c0  01c0
00bd  01c0  01c0
00d2  01c0  01c0
00e7  01c0  01c0
00fc  01c0  01c0
0111  01c0  01c0
0126  0206  0206
013b  01c0  01c0
0150  0284  0284
0165  0191  0191
017a  0180  0180
018f  01c0  01c0
01a4  01c0  01c0
01b9  01c0  01c0
01ce  01c0  01c0
01e3  01c0  01c0
01f8  01c0  01c0
020d  03c9  03c9
0222  00c3  00c3
0237  01c0  01c0
024c  024d  024d
0261  0180  0180
0276  0180  0180
028b  01c0  01c0
02a0  01c0  01c0
02b5  01c0  01c0
02ca  01c0  01c0
02df  01c0  01c0
02f4  01c0  01c0
0309  02c4  02c4
031e  01c0  01c0
0333  01c0  01c0
0348  014d  014d
035d  01c0  01c0
0372  0180  0180
0387  01c0  01c0
039c  01c0  01c0
03b1  01c0  01c0
03c6  01c0  01c0
03db  01c0  01c0
03f0  01c0  01c0
0005  02c7  02c7
001a  01c0  01c0
002f  0389  0389
0044  01cf  01cf
0059  01c0  01c0
006e  01b4  01b4
0083  0183  0183
0098  01c0  01c0
00ad  01c0  01c0
00c2  01c0  01c0
00d7  01c0  01c0
00ec  01c0  01c0
0101  0081  0081
0116  01c0  01c0
012b  030a  030a
0140  01c0  01c0
0155  01c0  01c0
016a  01a5  01a5
017f  0180  0180
0194  01c0  01c0
01a9  01c0  01c0
01be  01c0  01c0
01d3  01c0  01c0
01e8  01c0  01c0
01fd  01c0  01c0
0212  01c0  01c0
0227  0245  0245
023c  01c0  01c0
0251  01c0  01c0
0266  0196  0196
027b  0180  0180
0290  01c0  01c0
02a5  01c0  01c0
02ba  01c0  01c0
02cf  01c0  01c0
02e4  01c0  01c0
02f9  01c0  01c0
030e  03c8  03c8
0323  0105  0105
0338  01c0  01c0
034d  024c  024c
0362  0180  0180
0377  0180  0180
038c  01c0  01c0
03a1  01c0  01c0
03b6  01c0  01c0
03cb  01c0  01c0
03e0  01c0  01c0
03f5  01c0  01c0
000a  038b  038b
001f  01c0  01c0
0034  01c0  01c0
0049  020b  020b
005e  01c0  01c0
0073  0180  0180
0088  01c0  01c0
009d  01c0  01c0
00b2  01c0  01c0
00c7  01c0  01c0
00dc  01c0  01c0
00f1  01c0  01c0
0106  02c6  02c6
011b  01c0  01c0
0130  0386  0386
0145  0148  0148
015a  01c0  01c0
016f  01b9  01b9
0184  0203  0203
0199  01c0  01c0
