# Verification for (n=11, k=7 outputs)
# Strategy: opt1
# Transform: z = Mx + b (m=11)
# Tests: 5000

# x  f(x)  g(z)
00  00  00
415  78  78
2a  2b  2b
43f  78  78
54  3b  3b
469  79  79
7e  48  48
493  79  79
a8  4b  4b
4bd  79  79
d2  4d  4d
4e7  7a  7a
fc  58  58
511  7a  7a
126  59  59
53b  7a  7a
150  5b  5b
565  7b  7b
17a  5c  5c
58f  7b  7b
1a4  5d  5d
5b9  7b  7b
1ce  5e  5e
5e3  7c  7c
1f8  68  68
60d  7c  7c
222  69  69
637  7c  7c
24c  69  69
661  7d  7d
276  6a  6a
68b  7d  7d
2a0  6b  6b
6b5  7d  7d
2ca  6b  6b
6df  7e  7e
2f4  6c  6c
709  7e  7e
31e  6c  6c
733  7e  7e
348  6d  6d
75d  7f  7f
372  6e  6e
787  7f  7f
39c  6e  6e
7b1  7f  7f
3c6  6f  6f
7db  7f  7f
3f0  78  78
05  05  05
41a  78  78
2f  2c  2c
444  79  79
59  3b  3b
46e  79  79
83  48  48
498  79  79
ad  4b  4b
4c2  7a  7a
d7  4d  4d
4ec  7a  7a
101  58  58
516  7a  7a
12b  59  59
540  7b  7b
155  5b  5b
56a  7b  7b
17f  5c  5c
594  7b  7b
1a9  5d  5d
5be  7b  7b
1d3  5f  5f
5e8  7c  7c
1fd  68  68
612  7c  7c
227  69  69
63c  7c  7c
251  69  69
666  7d  7d
27b  6a  6a
690  7d  7d
2a5  6b  6b
6ba  7d  7d
2cf  6b  6b
6e4  7e  7e
2f9  6c  6c
70e  7e  7e
323  6d  6d
738  7e  7e
34d  6d  6d
762  7f  7f
377  6e  6e
78c  7f  7f
3a1  6f  6f
7b6  7f  7f
3cb  6f  6f
7e0  7f  7f
3f5  78  78
0a  0a  0a
41f  78  78
34  2d  2d
449  79  79
5e  3c  3c
473  79  79
88  49  49
49d  79  79
b2  4b  4b
4c7  7a  7a
dc  4e  4e
4f1  7a  7a
106  58  58
51b  7a  7a
130  5a  5a
545  7b  7b
15a  5b  5b
56f  7b  7b
184  5c  5c
599  7b  7b
1ae  5d  5d
5c3  7c  7c
1d8  5f  5f
5ed  7c  7c
202  68  68
617  7c  7c
22c  69  69
641  7d  7d
256  69  69
66b  7d  7d
280  6a  6a
695  7d  7d
2aa  6b  6b
6bf  7d  7d
2d4  6b  6b
6e9  7e  7e
2fe  6c  6c
713  7e  7e
328  6d  6d
73d  7e  7e
352  6d  6d
767  7f  7f
37c  6e  6e
791  7f  7f
3a6  6f  6f
7bb  7f  7f
3d0  6f  6f
7e5  7f  7f
3fa  78  78
0f  0f  0f
424  78  78
39  2e  2e
44e  79  79
63  3c  3c
478  79  79
8d  49  49
4a2  79  79
b7  4b  4b
4cc  7a  7a
e1  4e  4e
4f6  7a  7a
10b  58  58
520  7a  7a
135  5a  5a
54a  7b  7b
15f  5b  5b
574  7b  7b
189  5c  5c
59e  7b  7b
1b3  5e  5e
5c8  7c  7c
1dd  5f  5f
5f2  7c  7c
207  68  68
61c  7c  7c
231  69  69
646  7d  7d
25b  69  69
670  7d  7d
285  6a  6a
69a  7d  7d
2af  6b  6b
6c4  7e  7e
2d9  6b  6b
6ee  7e  7e
303  6c  6c
718  7e  7e
32d  6d  6d
742  7f  7f
357  6d  6d
76c  7f  7f
381  6e  6e
796  7f  7f
3ab  6f  6f
7c0  7f  7f
3d5  6f  6f
7ea  7f  7f
3ff  78  78
14  1a  1a
429  78  78
3e  38  38
453  79  79
68  3d  3d
47d  79  79
92  49  49
4a7  79  79
bc  4c  4c
4d1  7a  7a
e6  4e  4e
4fb  7a  7a
110  59  59
525  7a  7a
13a  5a  5a
54f  7b  7b
164  5b  5b
579  7b  7b
18e  5c  5c
5a3  7b  7b
1b8  5e  5e
5cd  7c  7c
1e2  5f  5f
5f7  7c  7c
20c  68  68
621  7c  7c
236  69  69
64b  7d  7d
260  6a  6a
675  7d  7d
28a  6a  6a
69f  7d  7d
2b4  6b  6b
6c9  7e  7e
2de  6b  6b
6f3  7e  7e
308  6c  6c
71d  7e  7e
332  6d  6d
747  7f  7f
35c  6d  6d
771  7f  7f
386  6e  6e
79b  7f  7f
3b0  6f  6f
7c5  7f  7f
3da  6f  6f
7ef  7f  7f
404  78  78
19  1d  1d
42e  78  78
43  38  38
458  79  79
6d  3e  3e
482  79  79
97  49  49
4ac  79  79
c1  4c  4c
4d6  7a  7a
eb  4f  4f
500  7a  7a
115  59  59
52a  7a  7a
13f  5a  5a
554  7b  7b
169  5b  5b
57e  7b  7b
193  5d  5d
5a8  7b  7b
1bd  5e  5e
5d2  7c  7c
1e7  5f  5f
5fc  7c  7c
211  68  68
626  7c  7c
23b  69  69
650  7d  7d
265  6a  6a
67a  7d  7d
28f  6a  6a
6a4  7d  7d
2b9  6b  6b
6ce  7e  7e
2e3  6c  6c
6f8  7e  7e
30d  6c  6c
722  7e  7e
337  6d  6d
74c  7f  7f
361  6e  6e
776  7f  7f
38b  6e  6e
7a0  7f  7f
3b5  6f  6f
7ca  7f  7f
3df  6f  6f
7f4  7f  7f
409  78  78
1e  1f  1f
433  78  78
48  39  39
45d  79  79
72  3e  3e
487  79  79
9c  4a  4a
4b1  79  79
c6  4c  4c
4db  7a  7a
f0  4f  4f
505  7a  7a
11a  59  59
52f  7a  7a
144  5a  5a
559  7b  7b
16e  5b  5b
583  7b  7b
198  5d  5d
5ad  7b  7b
1c2  5e  5e
5d7  7c  7c
1ec  5f  5f
601  7c  7c
216  68  68
62b  7c  7c
240  69  69
655  7d  7d
26a  6a  6a
67f  7d  7d
294  6a  6a
6a9  7d  7d
2be  6b  6b
6d3  7e  7e
2e8  6c  6c
6fd  7e  7e
312  6c  6c
727  7e  7e
33c  6d  6d
751  7f  7f
366  6e  6e
77b  7f  7f
390  6e  6e
7a5  7f  7f
3ba  6f  6f
7cf  7f  7f
3e4  78  78
7f9  7f  7f
40e  78  78
23  29  29
438  78  78
4d  3a  3a
462  79  79
77  3f  3f
48c  79  79
a1  4a  4a
4b6  79  79
cb  4d  4d
4e0  7a  7a
f5  4f  4f
50a  7a  7a
11f  59  59
534  7a  7a
149  5a  5a
55e  7b  7b
173  5c  5c
588  7b  7b
19d  5d  5d
5b2  7b  7b
1c7  5e  5e
5dc  7c  7c
1f1  50  50
606  7c  7c
21b  68  68
630  7c  7c
245  69  69
65a  7d  7d
26f  6a  6a
684  7d  7d
299  6a  6a
6ae  7d  7d
2c3  6b  6b
6d8  7e  7e
2ed  6c  6c
702  7e  7e
317  6c  6c
72c  7e  7e
341  6d  6d
756  7f  7f
36b  6e  6e
780  7f  7f
395  6e  6e
7aa  7f  7f
3bf  6f  6f
7d4  7f  7f
3e9  78  78
7fe  7f  7f
413  78  78
28  2a  2a
43d  78  78
52  3a  3a
467  79  79
7c  48  48
491  79  79
a6  4a  4a
4bb  79  79
d0  4d  4d
4e5  7a  7a
fa  58  58
50f  7a  7a
124  59  59
539  7a  7a
14e  5a  5a
563  7b  7b
178  5c  5c
58d  7b  7b
1a2  5d  5d
5b7  7b  7b
1cc  5e  5e
5e1  7c  7c
1f6  68  68
60b  7c  7c
220  69  69
635  7c  7c
24a  69  69
65f  7d  7d
274  6a  6a
689  7d  7d
29e  6a  6a
6b3  7d  7d
2c8  6b  6b
6dd  7e  7e
2f2  6c  6c
707  7e  7e
31c  6c  6c
731  7e  7e
346  6d  6d
75b  7f  7f
370  6e  6e
785  7f  7f
39a  6e  6e
7af  7f  7f
3c4  6f  6f
7d9  7f  7f
3ee  78  78
03  03  03
418  78  78
2d  2b  2b
442  79  79
57  3b  3b
46c  79  79
81  48  48
496  79  79
ab  4b  4b
4c0  7a  7a
d5  4d  4d
4ea  7a  7a
ff  58  58
514  7a  7a
129  59  59
53e  7a  7a
153  5b  5b
568  7b  7b
17d  5c  5c
592  7b  7b
1a7  5d  5d
5bc  7b  7b
1d1  5f  5f
5e6  7c  7c
1fb  68  68
610  7c  7c
225  69  69
63a  7c  7c
24f  69  69
664  7d  7d
279  6a  6a
68e  7d  7d
2a3  6b  6b
6b8  7d  7d
2cd  6b  6b
6e2  7e  7e
2f7  6c  6c
70c  7e  7e
321  6d  6d
736  7e  7e
34b  6d  6d
760  7f  7f
375  6e  6e
78a  7f  7f
39f  6e  6e
7b4  7f  7f
3c9  6f  6f
7de  7f  7f
3f3  78  78
08  08  08
41d  78  78
32  2d  2d
447  79  79
5c  3c  3c
471  79  79
86  48  48
49b  79  79
b0  4b  4b
4c5  7a  7a
da  4e  4e
4ef  7a  7a
104  58  58
519  7a  7a
12e  59  59
543  7b  7b
158  5b  5b
56d  7b  7b
182  5c  5c
597  7b  7b
1ac  5d  5d
5c1  7c  7c
1d6  5f  5f
5eb  7c  7c
200  68  68
615  7c  7c
22a  69  69
63f  7c  7c
254  69  69
669  7d  7d
27e  6a  6a
693  7d  7d
2a8  6b  6b
6bd  7d  7d
2d2  6b  6b
6e7  7e  7e
2fc  6c  6c
711  7e  7e
326  6d  6d
73b  7e  7e
350  6d  6d
765  7f  7f
37a  6e  6e
78f  7f  7f
3a4  6f  6f
7b9  7f  7f
3ce  6f  6f
7e3  7f  7f
3f8  78  78
0d  0d  0d
422  78  78
37  2e  2e
44c  79  79
61  3c  3c
476  79  79
8b  49  49
4a0  79  79
b5  4b  4b
4ca  7a  7a
